time,fx,fy,fz,tx,ty,tz,vx,vy,vz,travel_mm,pos_x,pos_y,pos_z
0.0028,0.0472,0.0524,-0.1391,0.00437,0.00034,0.00136,-5.00,0.00,0.00,0.0,102.96,650.29,302.29
0.0137,0.0272,0.0424,-0.0791,-0.01162,-0.00665,-0.00263,-5.00,0.00,0.00,0.0,102.96,650.29,302.29
0.0244,-0.0627,0.2424,-0.1291,-0.02362,-0.01265,0.00336,-5.00,0.00,0.00,0.0,102.96,650.29,302.28
0.0342,-0.0627,-0.0175,0.2608,-0.01862,-0.00265,0.00336,-5.00,0.00,0.00,0.0,102.96,650.29,302.27
0.0443,-0.0427,0.2224,-0.0991,-0.01662,-0.00465,0.00236,-5.00,0.00,0.00,0.0,102.96,650.29,302.27
0.0543,0.0072,0.0424,-0.1391,-0.01762,-0.00865,0.00036,-5.00,0.00,0.00,0.0,102.96,650.29,302.25
0.0651,-0.0627,0.0324,0.0308,-0.00062,0.00434,0.00336,-5.00,0.00,0.00,0.1,102.96,650.29,302.23
0.0746,0.0572,-0.0475,-0.2991,-0.02462,-0.01365,0.00036,-5.00,0.00,0.00,0.1,102.96,650.29,302.21
0.0845,-0.1427,0.1924,-0.1691,-0.01262,0.00234,0.00036,-5.00,0.00,0.00,0.1,102.96,650.29,302.18
0.0951,0.1272,-0.3375,0.1008,-0.00362,0.00334,-0.00063,-5.00,0.00,0.00,0.1,102.96,650.29,302.15
0.1049,0.1472,0.0224,0.0808,0.00837,0.00434,-0.00063,-5.00,0.00,0.00,0.2,102.96,650.29,302.12
0.1149,-0.1027,-0.1175,-0.0091,-0.00962,0.00434,0.00136,-5.00,0.00,0.00,0.2,102.96,650.30,302.08
0.1250,0.1372,0.0224,0.0808,-0.00062,0.00034,-0.00063,-5.00,0.00,0.00,0.2,102.96,650.30,302.05
0.1352,0.0672,-0.0075,-0.0691,0.01237,0.01034,-0.00163,-5.00,0.00,0.00,0.3,102.96,650.30,301.99
0.1453,-0.1027,-0.3075,0.2308,0.01237,0.01334,0.00036,-5.00,0.00,0.00,0.3,102.96,650.30,301.95
0.1553,-0.0327,0.2624,-0.0391,-0.01562,-0.00865,0.00336,-5.00,0.00,0.00,0.4,102.96,650.30,301.89
0.1658,0.0772,0.2024,-0.0191,-0.00862,-0.00065,0.00136,-5.00,0.00,0.00,0.4,102.96,650.30,301.85
0.1755,0.1172,0.0224,-0.1691,0.00037,0.00434,0.00136,-5.00,0.00,0.00,0.5,102.96,650.31,301.79
0.1858,0.3372,0.0924,-0.1091,0.00737,0.00934,0.00236,-5.00,0.00,0.00,0.5,102.96,650.31,301.75
0.1965,0.2472,0.0224,-0.0791,-0.02962,-0.00865,-0.00163,-5.00,0.00,0.00,0.6,102.96,650.31,301.69
0.2060,0.3072,0.0024,0.0608,0.01137,-0.00265,0.00236,-5.00,0.00,0.00,0.6,102.96,650.31,301.65
