time,fx,fy,fz,tx,ty,tz,vx,vy,vz,travel_mm,pos_x,pos_y,pos_z,phase
0.0000,-0.1343,-0.1283,-0.0871,0.00516,0.00596,0.00011,-5.00,0.00,0.00,0.0,102.88,650.30,302.33,DESCEND
0.0102,-0.2243,0.3016,-0.2771,0.00616,0.00496,0.00111,-5.00,0.00,0.00,0.0,102.88,650.30,302.33,DESCEND
0.0203,-0.1243,0.0616,-0.2971,-0.01483,-0.00503,0.00111,-5.00,0.00,0.00,0.0,102.88,650.30,302.33,DESCEND
0.0304,0.0156,0.2416,-0.2671,-0.01783,-0.00703,-0.00088,-5.00,0.00,0.00,0.0,102.88,650.30,302.32,DESCEND
0.0405,-0.0243,0.1616,-0.0371,0.00216,0.00796,-0.00088,-5.00,0.00,0.00,0.0,102.88,650.30,302.31,DESCEND
0.0506,-0.1443,0.2316,-0.2671,0.00116,0.00196,0.00211,-5.00,0.00,0.00,0.0,102.88,650.30,302.29,DESCEND
0.0607,0.0356,0.0516,-0.0271,-0.01283,0.00096,-0.00488,-5.00,0.00,0.00,0.1,102.88,650.30,302.27,DESCEND
0.0708,0.0556,0.1016,0.0828,0.00816,0.00196,0.00011,-5.00,0.00,0.00,0.1,102.88,650.31,302.25,DESCEND
0.0810,0.0356,0.2016,-0.1271,-0.00483,-0.00003,0.00311,-5.00,0.00,0.00,0.1,102.88,650.31,302.23,DESCEND
0.0912,-0.0843,0.0616,0.1728,-0.00683,0.00196,0.00211,-5.00,0.00,0.00,0.1,102.88,650.31,302.19,DESCEND
0.1013,-0.0043,0.1716,0.0128,-0.01083,-0.00303,0.00111,-5.00,0.00,0.00,0.2,102.88,650.31,302.16,DESCEND
0.1115,-0.1343,-0.1283,0.2728,-0.00883,0.00296,-0.00088,-5.00,0.00,0.00,0.2,102.88,650.31,302.12,DESCEND
0.1216,-0.0143,-0.1483,0.3228,0.00116,0.00796,0.00011,-5.00,0.00,0.00,0.2,102.88,650.31,302.09,DESCEND
0.1317,-0.0843,-0.0983,0.1928,0.01016,0.01496,-0.00288,-5.00,0.00,0.00,0.3,102.88,650.31,302.03,DESCEND
0.1420,0.0156,0.1816,-0.3671,-0.01383,-0.00603,0.00011,-5.00,0.00,0.00,0.4,102.88,650.32,301.97,DESCEND
0.1521,0.0156,0.1916,0.0028,0.01016,0.01396,0.00111,-5.00,0.00,0.00,0.4,102.88,650.32,301.93,DESCEND
0.1623,0.1656,0.1216,0.0328,0.00916,0.00896,-0.00088,-5.00,0.00,0.00,0.5,102.88,650.32,301.87,DESCEND
0.1724,-0.0943,0.0316,0.1628,-0.00683,0.01896,0.00211,-5.00,0.00,0.00,0.5,102.88,650.32,301.83,DESCEND
0.1825,0.0956,0.1816,-0.4771,0.00316,0.00796,0.00511,-5.00,0.00,0.00,0.6,102.88,650.32,301.77,DESCEND
0.1926,0.0456,-0.0983,0.1428,0.00416,0.01696,0.00011,-5.00,0.00,0.00,0.6,102.88,650.32,301.73,DESCEND
0.2027,-0.3943,0.2516,-0.2571,-0.02083,-0.00403,0.00411,-5.00,0.00,0.00,0.7,102.88,650.33,301.67,DESCEND
0.2128,-0.2743,0.0416,-0.0671,-0.01683,-0.00803,0.00111,-5.00,0.00,0.00,0.7,102.88,650.33,301.63,DESCEND
0.2230,-0.1143,-0.0183,-0.1871,-0.00483,-0.00303,0.00011,-5.00,0.00,0.00,0.8,102.88,650.33,301.57,DESCEND
0.2331,-0.0843,-0.1783,0.5328,0.01716,0.01296,-0.00288,-5.00,0.00,0.00,0.8,102.88,650.33,301.53,DESCEND
0.2432,-0.0143,-0.1683,0.2228,0.00216,0.00396,-0.00288,-5.00,0.00,0.00,0.9,102.88,650.33,301.47,DESCEND
0.2533,-0.1843,0.1016,-0.0671,-0.00683,0.00396,0.00111,-5.00,0.00,0.00,0.9,102.88,650.34,301.43,DESCEND
0.2634,0.0156,-0.0883,-0.1171,0.00416,0.00496,0.00111,-5.00,0.00,0.00,1.0,102.88,650.34,301.37,DESCEND
0.2736,0.0656,-0.1083,-0.0071,0.00816,0.00996,-0.00188,-5.00,0.00,0.00,1.0,102.88,650.34,301.33,DESCEND
0.2837,0.0556,0.1016,0.0928,0.00316,0.00796,0.00011,-5.00,0.00,0.00,1.1,102.88,650.34,301.27,DESCEND
0.2938,-0.1543,0.0816,0.3128,-0.00683,0.00896,0.00111,-5.00,0.00,0.00,1.1,102.88,650.34,301.23,DESCEND
0.3039,0.1856,-0.0083,0.1828,0.01816,0.01296,0.00111,-5.00,0.00,0.00,1.2,102.88,650.35,301.17,DESCEND
0.3141,0.1856,0.1716,0.1328,0.00216,-0.00003,0.00211,-5.00,0.00,0.00,1.2,102.88,650.35,301.11,DESCEND
0.3242,0.2456,0.0616,-0.1771,0.01116,0.00196,0.00011,-5.00,0.00,0.00,1.3,102.88,650.35,301.07,DESCEND
0.3344,-0.2043,0.2716,-0.2771,-0.00283,0.00096,0.00411,-5.00,0.00,0.00,1.3,102.88,650.35,301.01,DESCEND
0.3445,-0.0243,0.2716,-0.0771,0.00116,-0.00303,-0.00088,-5.00,0.00,0.00,1.4,102.88,650.35,300.97,DESCEND
0.3547,-0.1243,-0.0483,0.3128,-0.01283,0.00096,0.00111,-5.00,0.00,0.00,1.4,102.88,650.36,300.91,DESCEND
0.3648,-0.0543,0.0216,0.0328,0.00216,0.00696,0.00011,-5.00,0.00,0.00,1.5,102.88,650.36,300.87,DESCEND
0.3749,-0.1043,-0.2083,0.1328,0.00716,0.00896,-0.00088,-5.00,0.00,0.00,1.5,102.88,650.36,300.81,DESCEND
0.3850,-0.0743,0.0716,-0.1871,-0.00883,-0.01003,0.00311,-5.00,0.00,0.00,1.6,102.88,650.36,300.77,DESCEND
0.3952,-0.1043,-0.0083,0.1828,0.00716,0.00396,0.00211,-5.00,0.00,0.00,1.6,102.89,650.36,300.71,DESCEND
0.4053,-0.0743,-0.0483,0.0628,0.00216,-0.00003,0.00011,-5.00,0.00,0.00,1.7,102.89,650.36,300.67,DESCEND
0.4155,-0.0043,-0.2383,0.1528,-0.02283,-0.00403,-0.00088,-5.00,0.00,0.00,1.7,102.89,650.37,300.61,DESCEND
0.4256,-0.2343,-0.1083,0.0928,-0.00883,0.01696,0.00411,-5.00,0.00,0.00,1.8,102.89,650.37,300.57,DESCEND
0.4358,-0.1943,0.4516,-0.7071,-0.01683,-0.00703,0.00711,-5.00,0.00,0.00,1.8,102.89,650.37,300.51,DESCEND
0.4459,0.0656,-0.2083,0.1128,-0.02083,-0.00403,-0.00088,-5.00,0.00,0.00,1.9,102.89,650.37,300.45,DESCEND
0.4560,-0.1643,0.2516,-0.2071,-0.00183,0.00296,0.00511,-5.00,0.00,0.00,1.9,102.89,650.37,300.42,DESCEND
0.4661,-0.1443,0.0416,-0.0671,-0.01483,-0.00703,0.00211,-5.00,0.00,0.00,2.0,102.89,650.38,300.36,DESCEND
0.4762,0.0956,0.0916,0.0428,-0.00283,-0.00003,-0.00088,-5.00,0.00,0.00,2.0,102.89,650.38,300.32,DESCEND
0.4863,-0.1643,0.0716,0.1628,-0.01483,-0.00203,0.00211,-5.00,0.00,0.00,2.1,102.89,650.38,300.26,DESCEND
0.4964,0.1856,-0.0783,0.0628,0.01516,-0.01003,0.00011,-5.00,0.00,0.00,2.1,102.89,650.38,300.22,DESCEND
0.5065,-0.2643,-0.0283,0.0528,-0.01783,-0.00003,0.00211,-5.00,0.00,0.00,2.2,102.89,650.38,300.16,DESCEND
0.5167,-0.1543,0.0316,0.0928,-0.00383,-0.00303,0.00411,-5.00,0.00,0.00,2.2,102.89,650.39,300.12,DESCEND
0.5269,-0.0143,0.0216,-0.2471,0.02216,0.00196,0.00411,-5.00,0.00,0.00,2.3,102.89,650.39,300.06,DESCEND
0.5369,-0.0343,-0.0583,0.0728,0.00616,0.00196,0.00011,-5.00,0.00,0.00,2.3,102.89,650.39,300.02,DESCEND
0.5471,0.0156,-0.0583,0.1428,0.00016,0.00996,0.00211,-5.00,0.00,0.00,2.4,102.89,650.39,299.96,DESCEND
0.5572,-0.0243,0.4116,-0.3671,-0.01683,-0.01003,0.00611,-5.00,0.00,0.00,2.4,102.89,650.39,299.92,DESCEND
0.5673,-0.1643,0.1816,-0.0771,-0.00183,0.00596,0.00411,-5.00,0.00,0.00,2.5,102.89,650.39,299.86,DESCEND
0.5774,0.0156,0.0116,-0.0771,0.00016,-0.00103,-0.00188,-5.00,0.00,0.00,2.5,102.89,650.40,299.82,DESCEND
0.5875,0.0656,-0.3683,0.2528,-0.01083,-0.00403,-0.00288,-5.00,0.00,0.00,2.6,102.89,650.40,299.76,DESCEND
